Name,Dataset,Sequence length,Method,Metric_name,Metric
rp25.csv,RNA_PUZZLES,69,best,RMSD,2.55
rp25.csv,RNA_PUZZLES,69,alphafold3,RMSD,2.579
rp25.csv,RNA_PUZZLES,69,trrosettarna,RMSD,3.179
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,RMSD,4.334
rp25.csv,RNA_PUZZLES,69,rhofold,RMSD,12.841
rp25.csv,RNA_PUZZLES,69,mcsym,RMSD,15.475
rp25.csv,RNA_PUZZLES,69,eprna,RMSD,16.591
rp25.csv,RNA_PUZZLES,69,isrna,RMSD,18.002
rp25.csv,RNA_PUZZLES,69,3drna,RMSD,24.369
rp25.csv,RNA_PUZZLES,69,vfold,RMSD,25.124
rp25.csv,RNA_PUZZLES,69,rnacomposer,RMSD,26.26
rp25.csv,RNA_PUZZLES,69,rnajp,RMSD,45.037
rp25.csv,RNA_PUZZLES,69,simrna,RMSD,61.103
rp25.csv,RNA_PUZZLES,69,best,P-VALUE,0.0
rp25.csv,RNA_PUZZLES,69,alphafold3,P-VALUE,0.0
rp25.csv,RNA_PUZZLES,69,trrosettarna,P-VALUE,0.0
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,P-VALUE,0.0
rp25.csv,RNA_PUZZLES,69,rhofold,P-VALUE,1.0728741228760441e-09
rp25.csv,RNA_PUZZLES,69,mcsym,P-VALUE,3.0449098959439702e-06
rp25.csv,RNA_PUZZLES,69,eprna,P-VALUE,4.747930008536239e-05
rp25.csv,RNA_PUZZLES,69,isrna,P-VALUE,0.0009065192595053
rp25.csv,RNA_PUZZLES,69,3drna,P-VALUE,0.6619399810080359
rp25.csv,RNA_PUZZLES,69,vfold,P-VALUE,0.7987493862598063
rp25.csv,RNA_PUZZLES,69,rnacomposer,P-VALUE,0.928989295951274
rp25.csv,RNA_PUZZLES,69,rnajp,P-VALUE,1.0
rp25.csv,RNA_PUZZLES,69,simrna,P-VALUE,1.0
rp25.csv,RNA_PUZZLES,69,best,INF-ALL,0.832
rp25.csv,RNA_PUZZLES,69,alphafold3,INF-ALL,0.808
rp25.csv,RNA_PUZZLES,69,trrosettarna,INF-ALL,0.643
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,INF-ALL,0.783
rp25.csv,RNA_PUZZLES,69,rhofold,INF-ALL,0.412
rp25.csv,RNA_PUZZLES,69,mcsym,INF-ALL,0.623
rp25.csv,RNA_PUZZLES,69,eprna,INF-ALL,0.032
rp25.csv,RNA_PUZZLES,69,isrna,INF-ALL,0.64
rp25.csv,RNA_PUZZLES,69,3drna,INF-ALL,0.581
rp25.csv,RNA_PUZZLES,69,vfold,INF-ALL,0.614
rp25.csv,RNA_PUZZLES,69,rnacomposer,INF-ALL,0.718
rp25.csv,RNA_PUZZLES,69,rnajp,INF-ALL,0.475
rp25.csv,RNA_PUZZLES,69,simrna,INF-ALL,0.0
rp25.csv,RNA_PUZZLES,69,best,INF-WC,0.977
rp25.csv,RNA_PUZZLES,69,alphafold3,INF-WC,0.952
rp25.csv,RNA_PUZZLES,69,trrosettarna,INF-WC,0.873
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,INF-WC,0.926
rp25.csv,RNA_PUZZLES,69,rhofold,INF-WC,0.225
rp25.csv,RNA_PUZZLES,69,mcsym,INF-WC,0.926
rp25.csv,RNA_PUZZLES,69,eprna,INF-WC,0.0
rp25.csv,RNA_PUZZLES,69,isrna,INF-WC,0.926
rp25.csv,RNA_PUZZLES,69,3drna,INF-WC,0.781
rp25.csv,RNA_PUZZLES,69,vfold,INF-WC,0.926
rp25.csv,RNA_PUZZLES,69,rnacomposer,INF-WC,0.926
rp25.csv,RNA_PUZZLES,69,rnajp,INF-WC,0.535
rp25.csv,RNA_PUZZLES,69,simrna,INF-WC,
rp25.csv,RNA_PUZZLES,69,best,INF-NWC,0.533
rp25.csv,RNA_PUZZLES,69,alphafold3,INF-NWC,0.539
rp25.csv,RNA_PUZZLES,69,trrosettarna,INF-NWC,0.0
rp25.csv,RNA_PUZZLES,69,vfoldpipeline,INF-NWC,0.615
rp25.csv,RNA_PUZZLES,69,rhofold,INF-NWC,0.0
rp25.csv,RNA_PUZZLES,69,mcsym,INF-NWC,0.0
rp25.csv,RNA_PUZZLES,69,eprna,INF-NWC,0.0
rp25.csv,RNA_PUZZLES,69,isrna,INF-NWC,0.0
